lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),class
19.4,295.6,37,138,1000,15,74,12,333,290,9999,55,183,77,-10,37,20.5,295,54,106,999,18,70,8,335,285,9999,57,246,87,-1,14,20.5,295,54,106,999,18,70,8,335,285,9999,57,246,87,-1,14,0
20,295.1,46,133,999,14,62,4,13,289,9999,55,203,93,8,23,20.4,295.2,47,15,1005,17,66,7,8,285,9999,55,246,90,8,58,20.4,295.2,47,15,1005,17,66,7,8,285,9999,55,246,90,8,58,0
20.2,294.8,47,26,997,18,63,5,21,285,9999,54,207,88,10,30,20.7,295,58,52,995,23,83,6,356,281,9999,54,266,97,-6,21,20.7,295,58,52,995,23,83,6,356,281,9999,54,266,97,-6,21,0
20.5,294.6,46,81,998,20,75,6,9,285,9999,54,231,92,-6,24,21.1,294.7,40,134,1000,22,87,8,357,283,9999,54,298,93,-12,17,21.1,294.7,40,134,1000,22,87,8,357,283,9999,54,298,93,-12,17,0
21.5,294.9,62,142,998,20,68,4,328,286,9999,54,346,130,-20,14,21.8,294.7,48,185,995,21,59,4,352,287,9999,55,374,124,-10,37,21.8,294.7,48,185,995,21,59,4,352,287,9999,55,374,124,-10,37,0
21.9,294.8,54,193,998,19,47,3,360,288,9999,53,387,130,-12,51,22.2,294.8,51,191,996,25,63,6,360,287,9999,53,420,123,3,22,22.2,294.8,51,191,996,25,63,6,360,287,9999,53,420,123,3,22,0
22.4,294.8,64,173,995,25,60,5,340,283,9999,52,441,134,9,43,22.9,294.6,52,96,995,29,83,7,335,283,9999,52,493,123,0,17,22.9,294.6,52,96,995,29,83,7,335,283,9999,52,493,123,0,17,0
23.1,294.7,56,67,994,29,74,8,323,285,9999,52,516,127,2,7,23.7,294.2,56,84,993,34,85,7,331,285,9999,52,578,130,0,1,23.7,294.2,56,84,993,34,85,7,331,285,9999,52,578,130,0,1,0
23.5,294.3,63,59,995,29,76,6,351,285,9999,53,556,139,-6,-6,24.1,294.2,57,98,991,27,84,5,350,285,9999,53,623,148,16,51,24.1,294.2,57,98,991,27,84,5,350,285,9999,53,623,148,16,51,0
23.9,294.3,65,102,992,27,81,4,360,286,9999,53,601,154,2,44,24.3,294.3,63,72,988,32,86,6,360,285,9999,53,645,151,10,15,24.3,294.3,63,72,988,32,86,6,360,285,9999,53,645,151,10,15,0
24.6,294.2,87,53,983,29,79,3,343,284,9999,52,678,162,11,16,24.9,294.1,74,120,978,29,87,3,360,283,9999,52,709,163,2,-10,24.9,294.1,74,120,978,29,87,3,360,283,9999,52,709,163,2,-10,0
24.9,294.1,72,126,981,25,82,5,10,285,9999,52,709,159,4,-15,25.4,294.2,74,146,977,30,87,6,17,284,9999,52,760,166,0,-11,25.4,294.2,74,146,977,30,87,6,17,284,9999,52,760,166,0,-11,0
25.4,294.2,74,102,979,25,89,7,14,285,9999,51,760,171,6,-12,26.1,294.4,78,71,971,21,80,7,23,284,9999,53,836,184,19,13,26.1,294.4,78,71,971,21,80,7,23,284,9999,53,836,184,19,13,0
26.1,294.4,74,89,973,17,79,7,31,287,9999,52,836,178,14,-7,26.7,294.8,89,148,966,19,74,9,21,283,9999,52,914,189,12,24,26.7,294.8,89,148,966,19,74,9,21,283,9999,52,914,189,12,24,0
26.8,294.5,82,154,969,15,70,9,6,281,9999,52,908,184,17,15,27.7,294.6,79,120,967,16,86,10,11,283,9999,52,1000,187,8,31,27.7,294.6,79,120,967,16,86,10,11,283,9999,52,1000,187,8,31,0
27.7,294.5,92,61,966,10,77,10,15,286,9999,52,995,209,7,24,28.7,294.8,100,138,957,5,65,10,15,286,9999,53,1108,215,37,30,28.7,294.8,100,138,957,5,65,10,15,286,9999,53,1108,215,37,30,0
28.6,294.7,86,139,962,4,51,10,21,291,9999,54,1093,203,33,36,29.5,295.1,92,95,958,5,60,11,27,285,9999,54,1200,213,62,45,29.5,295.1,92,95,958,5,60,11,27,285,9999,54,1200,213,62,45,0
29.7,295.3,93,115,962,3,33,12,31,291,9999,53,1228,211,68,26,30.7,296,91,143,961,8,75,14,28,281,9999,54,1230,210,56,27,30.7,296,91,143,961,8,75,14,28,281,9999,54,1230,210,56,27,0
30.6,295.7,81,129,962,4,50,14,38,281,9999,55,1210,196,68,15,31.7,296.7,94,70,961,7,119,16,40,282,9999,55,1243,209,102,48,31.7,296.7,94,70,961,7,119,16,40,282,9999,55,1243,209,102,48,0
31.9,296.8,84,113,963,6,107,18,42,287,9999,54,1243,188,101,18,33.2,298.2,86,24,962,9,49,19,46,278,9999,55,1189,210,104,26,33.2,298.2,86,24,962,9,49,19,46,278,9999,55,1189,210,104,26,0
33.4,298.1,86,38,961,9,23,21,52,285,9999,55,1165,205,110,13,34.7,300.1,91,82,960,11,30,26,47,283,9999,56,1091,213,144,29,34.7,300.1,91,82,960,11,30,26,47,283,9999,56,1091,213,144,29,0
35,300.3,95,71,953,11,27,30,45,286,9999,56,1068,224,155,47,37.1,302.9,98,57,950,21,36,31,40,276,9999,55,963,257,168,113,37.1,302.9,98,57,950,21,36,31,40,276,9999,55,963,257,168,113,0
37.2,303.2,92,91,954,18,35,33,33,275,9999,56,962,231,173,86,40,305.5,112,129,949,29,28,30,31,265,9999,53,747,289,178,63,40,305.5,112,129,949,29,28,30,31,265,9999,53,747,289,178,63,0
40,305.6,88,159,954,28,43,27,32,271,9999,53,747,244,174,30,42.3,307.5,72,161,960,38,45,22,34,237,9999,48,491,273,199,63,42.3,307.5,72,161,960,38,45,22,34,237,9999,48,491,273,199,63,0
42.4,306.7,83,124,955,42,47,7,17,235,9999,46,478,288,195,65,43.1,307,75,48,959,40,29,6,36,224,9999,41,400,274,233,-15,43.1,307,75,48,959,40,29,6,36,224,9999,41,400,274,233,-15,0
43.3,307.2,76,56,961,36,29,2,90,223,9999,41,379,273,226,14,43.3,307.5,57,79,962,34,15,3,71,222,9999,41,381,252,233,-44,43.3,307.5,57,79,962,34,15,3,71,222,9999,41,381,252,233,-44,0
16.3,310.9,39,126,1009,11,58,7,262,281,9999,54,1293,74,6,4,16.2,310.2,41,146,1009,10,92,7,274,285,9999,54,1254,74,9,26,16.2,310.2,41,146,1009,10,92,7,274,285,9999,54,1254,74,9,26,0
16.6,309.9,45,161,1007,11,72,8,285,285,9999,52,1284,80,-2,25,16.8,309.1,45,147,1007,14,90,8,266,282,9999,52,1278,85,10,38,16.8,309.1,45,147,1007,14,90,8,266,282,9999,52,1278,85,10,38,0
16.7,308.7,54,149,1001,13,80,9,263,282,9999,54,1235,87,10,48,16.6,307.8,51,126,1003,13,82,8,270,280,9999,54,1148,102,10,58,16.6,307.8,51,126,1003,13,82,8,270,280,9999,54,1148,102,10,58,0
16.5,307.6,49,133,1002,13,79,9,263,282,9999,52,1124,92,7,35,16.4,306.7,48,113,1007,16,95,8,270,281,9999,52,1039,90,3,28,16.4,306.7,48,113,1007,16,95,8,270,281,9999,52,1039,90,3,28,0
16.5,306.4,54,133,1000,12,79,6,260,284,9999,53,1020,99,6,27,16.4,305.8,83,164,998,16,88,8,263,285,9999,53,963,110,-1,50,16.4,305.8,83,164,998,16,88,8,263,285,9999,53,963,110,-1,50,0
16.3,305.1,46,127,1006,9,95,9,257,288,9999,52,899,92,1,51,16.1,304.2,44,189,1008,11,91,10,267,287,9999,52,814,88,6,35,16.1,304.2,44,189,1008,11,91,10,267,287,9999,52,814,88,6,35,0
16.1,303.8,53,172,1005,9,96,10,270,289,9999,50,785,105,8,38,16.1,302.8,39,99,1004,15,102,11,275,288,9999,50,718,93,1,-9,16.1,302.8,39,99,1004,15,102,11,275,288,9999,50,718,93,1,-9,0
15.7,302.5,54,133,1005,14,89,12,275,291,9999,51,663,119,-3,-5,15.8,301.3,39,48,1003,17,105,11,288,291,9999,52,609,99,2,-12,15.8,301.3,39,48,1003,17,105,11,288,291,9999,52,609,99,2,-12,0
16.3,299.7,39,109,1007,13,80,13,270,293,9999,52,614,86,8,-8,16.3,298.3,36,19,1007,16,78,12,277,283,9999,53,479,89,-2,22,16.3,298.3,36,19,1007,16,78,12,277,283,9999,53,479,89,-2,22,0
16.5,298.4,56,45,1002,13,56,12,270,291,9999,53,479,128,0,27,16.5,297.2,54,152,998,17,59,10,270,292,9999,54,367,120,17,49,16.5,297.2,54,152,998,17,59,10,270,292,9999,54,367,120,17,49,0
16.3,297.2,54,149,1000,14,77,10,264,294,9999,53,379,118,23,73,16.2,296.2,76,132,994,11,87,8,270,294,9999,54,300,125,37,47,16.2,296.2,76,132,994,11,87,8,270,294,9999,54,300,125,37,47,0
16.3,296.9,45,143,999,9,85,7,278,294,9999,55,352,105,36,71,16.4,296.2,50,91,999,8,87,6,298,295,9999,56,285,112,33,84,16.4,296.2,50,91,999,8,87,6,298,295,9999,56,285,112,33,84,0
16.7,295.8,53,111,1002,7,59,4,298,295,9999,55,231,116,33,113,16.9,295.4,47,100,998,11,55,6,302,294,9999,56,184,120,38,86,16.9,295.4,47,100,998,11,55,6,302,294,9999,56,184,120,38,86,0
16.4,295.3,48,59,997,9,38,8,307,293,9999,56,219,125,46,79,16.9,294.6,61,136,989,16,71,8,307,290,9999,57,133,127,36,63,16.9,294.6,61,136,989,16,71,8,307,290,9999,57,133,127,36,63,0
16.9,294.5,56,110,995,15,65,8,307,292,9999,55,129,121,38,62,17.4,293.8,62,114,990,18,77,9,305,288,9999,56,67,128,52,63,17.4,293.8,62,114,990,18,77,9,305,288,9999,56,67,128,52,63,0
17.1,293.9,65,71,990,16,70,8,316,292,9999,56,100,124,46,58,17.7,293.3,67,121,986,19,78,8,301,281,9999,57,24,128,58,64,17.7,293.3,67,121,986,19,78,8,301,281,9999,57,24,128,58,64,0
17.8,293.1,89,124,984,17,72,7,287,288,9999,57,13,141,56,60,18,292.4,73,87,982,18,61,6,298,292,9999,57,42,142,52,89,18,292.4,73,87,982,18,61,6,298,292,9999,57,42,142,52,89,0
18.1,292.2,84,63,982,15,54,5,308,292,9999,55,63,145,42,69,18.4,291.8,72,34,978,18,65,5,320,277,9999,56,15,139,47,48,18.4,291.8,72,34,978,18,65,5,320,277,9999,56,15,139,47,48,0
18.2,291.6,85,19,974,14,62,6,330,287,9999,55,15,148,43,75,18.7,291.3,71,87,977,19,73,7,333,259,9999,56,-10,145,28,57,18.7,291.3,71,87,977,19,73,7,333,259,9999,56,-10,145,28,57,0
18.7,291.1,86,70,979,18,64,8,338,274,9999,55,-24,148,35,69,19.4,290.8,70,115,981,17,86,9,338,283,9999,58,11,143,34,63,19.4,290.8,70,115,981,17,86,9,338,283,9999,58,11,143,34,63,1
19.6,290.5,83,99,969,14,71,7,328,287,9999,56,33,167,34,60,20.2,290.1,95,131,966,15,62,8,335,289,9999,57,55,162,37,65,20.2,290.1,95,131,966,15,62,8,335,289,9999,57,55,162,37,65,0
20.3,289.9,107,138,972,15,62,9,321,288,9999,57,64,163,37,92,21,289.3,85,94,970,21,72,9,323,288,9999,56,136,155,32,68,21,289.3,85,94,970,21,72,9,323,288,9999,56,136,155,32,68,0
