lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),class
29.5,274.6,51,190,1003,18,24,19,51,284,9999,50,22,62,2,54,30.7,276.3,32,72,1002,27,29,20,54,225,9999,48,-80,72,-3,21,30.7,276.3,32,72,1002,27,29,20,54,225,9999,48,-80,72,-3,21,0
31.9,280.8,32,106,1005,32,9,22,80,291,9999,48,120,54,24,-11,32.3,283.4,38,149,1002,31,359,20,76,290,9999,47,229,70,27,8,32.3,283.4,38,149,1002,31,359,20,76,290,9999,47,229,70,27,8,0
32.2,283.8,34,111,1003,28,359,22,54,285,9999,47,261,64,31,45,33.5,285.9,35,68,1000,31,12,18,65,282,9999,43,262,75,54,48,33.5,285.9,35,68,1000,31,12,18,65,282,9999,43,262,75,54,48,0
22.2,264.7,38,63,1007,18,38,12,321,299,9999,55,207,90,54,119,23.1,263.9,34,83,1007,17,41,11,326,301,9999,54,174,83,54,130,23.1,263.9,34,83,1007,17,41,11,326,301,9999,54,174,83,54,130,0
22.6,264.3,37,110,1009,15,43,16,332,292,9999,57,190,64,45,131,24,263.5,39,74,1006,18,66,15,353,294,9999,55,133,82,12,65,24,263.5,39,74,1006,18,66,15,353,294,9999,55,133,82,12,65,0
25.1,263.5,50,108,1001,21,62,8,6,299,9999,57,96,82,9,113,25.9,263.6,66,172,1002,20,75,10,5,295,9999,56,81,108,-1,92,25.9,263.6,66,172,1002,20,75,10,5,295,9999,56,81,108,-1,92,0
25.6,263.3,49,145,1002,18,74,9,17,299,9999,55,55,92,-3,69,26.5,263.6,45,154,1004,19,82,13,14,297,9999,54,90,91,-12,59,26.5,263.6,45,154,1004,19,82,13,14,297,9999,54,90,91,-12,59,0
26.9,263.5,51,178,1002,20,75,13,12,298,9999,55,86,109,-13,58,28.2,263.8,47,78,997,30,83,10,5,289,9999,54,29,101,-9,65,28.2,263.8,47,78,997,30,83,10,5,289,9999,54,29,101,-9,65,0
28.1,263.8,68,93,987,26,81,7,24,290,9999,54,38,125,-19,64,28.7,264.1,57,154,993,30,95,6,26,266,9999,52,2,118,-71,57,28.7,264.1,57,154,993,30,95,6,26,266,9999,52,2,118,-71,57,0
28.8,264.3,69,126,990,28,92,7,24,274,9999,51,-5,133,-70,49,29.4,264.6,41,115,996,34,94,5,26,234,9999,50,-40,116,-74,34,29.4,264.6,41,115,996,34,94,5,26,234,9999,50,-40,116,-74,34,0
29.4,264.5,53,129,1000,32,95,6,60,243,9999,50,-48,138,-73,17,29.7,265.1,39,88,998,34,87,6,58,247,9999,51,-24,119,-12,62,29.7,265.1,39,88,998,34,87,6,58,247,9999,51,-24,119,-12,62,0
29.5,265.3,40,94,1004,31,91,5,41,282,9999,51,4,98,-28,56,29.9,265.7,29,166,1003,42,94,4,23,244,9999,50,-22,90,-16,83,29.9,265.7,29,166,1003,42,94,4,23,244,9999,50,-22,90,-16,83,0
29.9,265.7,36,143,1003,37,92,2,337,267,9999,51,-22,96,-17,106,30.1,265.6,30,86,1003,47,93,1,180,237,9999,48,-45,93,-46,83,30.1,265.6,30,86,1003,47,93,1,180,237,9999,48,-45,93,-46,83,0
36.7,288,27,144,1010,26,53,3,90,281,9999,53,330,85,-28,87,36.7,288.4,39,119,1010,27,68,13,55,278,9999,52,360,97,-41,63,36.7,288.4,39,119,1010,27,68,13,55,278,9999,52,360,97,-41,63,0
36.5,288.5,35,137,1010,23,56,19,37,277,9999,51,380,101,-29,66,38,289.9,35,126,1008,30,70,20,47,265,9999,49,371,88,-17,61,38,289.9,35,126,1008,30,70,20,47,265,9999,49,371,88,-17,61,0
38.3,290.6,38,106,1009,30,65,8,97,257,9999,48,373,98,-35,72,38.2,291.6,43,162,1006,32,65,10,78,259,9999,47,425,107,1,68,38.2,291.6,43,162,1006,32,65,10,78,259,9999,47,425,107,1,68,0
38.5,292,44,159,1002,30,54,15,74,259,9999,48,410,109,6,85,38.9,293.8,50,91,1000,35,65,13,90,258,9999,48,473,127,26,113,38.9,293.8,50,91,1000,35,65,13,90,258,9999,48,473,127,26,113,0
39,294,43,54,1000,34,63,13,86,261,9999,47,478,113,14,94,39.1,295.7,44,30,1002,35,65,23,62,252,9999,47,499,113,53,101,39.1,295.7,44,30,1002,35,65,23,62,252,9999,47,499,113,53,101,0
40.2,316.7,54,74,993,37,49,16,101,255,9999,31,1071,145,105,38,39.9,318.8,43,93,999,38,51,14,82,241,9999,34,1224,141,102,-15,39.9,318.8,43,93,999,38,51,14,82,241,9999,34,1224,141,102,-15,0
39.7,318.4,53,172,1000,38,48,16,79,249,9999,33,1214,117,99,-3,40,320.4,42,133,1005,29,49,12,49,236,9999,34,1321,118,111,9,40,320.4,42,133,1005,29,49,12,49,236,9999,34,1321,118,111,9,0
40.5,319.9,48,189,996,30,40,17,39,237,9999,34,1253,128,98,11,41.8,321.3,48,133,998,19,19,14,11,227,9999,34,1269,150,102,61,41.8,321.3,48,133,998,19,19,14,11,227,9999,34,1269,150,102,61,0
41.2,320,43,98,997,21,30,11,360,235,9999,31,1213,139,107,33,42.3,320,39,139,1000,16,15,13,350,226,9999,31,1148,139,80,36,42.3,320,39,139,1000,16,15,13,350,226,9999,31,1148,139,80,36,0
42.3,320.1,48,105,996,15,0,13,340,229,9999,31,1155,144,92,22,43.5,319.5,35,120,996,15,336,11,335,209,9999,31,1050,140,32,-23,43.5,319.5,35,120,996,15,336,11,335,209,9999,31,1050,140,32,-23,0
