lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD ,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,class
39,331.1,58,49,999,26,138,6,241,233,9999,35,1702,123,-16,-7,0
38,329.7,45,41,1001,24,96,9,277,241,9999,37,1839,116,15,-24,0
38.2,328.7,44,19,1002,27,91,10,288,245,9999,38,1922,110,3,-6,0
38.5,327.3,46,74,998,22,83,11,292,240,9999,38,1901,101,-8,-8,0
38.8,326,47,166,996,15,96,12,305,245,9999,36,1789,105,-34,-32,0
39.3,324.1,43,113,998,31,133,10,258,240,9999,36,1622,106,-46,2,0
39.2,322.9,40,50,1000,35,155,6,241,237,9999,37,1545,93,-27,-50,0
14.1,290.3,32,64,1007,26,221,17,277,299,9999,54,225,77,-4,6,0
14.8,288.6,35,78,1004,14,228,17,277,292,9999,57,258,66,2,51,0
14.3,285.6,37,39,1004,13,170,16,266,294,9999,57,345,71,31,33,0
14.3,283.9,40,100,1005,8,178,13,265,294,9999,57,389,74,56,52,0
14.5,282.8,40,38,1002,2,162,13,279,290,9999,57,356,79,57,83,0
14.6,281.6,40,101,1006,3,103,9,289,294,9999,57,363,90,52,64,0
15,280.6,36,77,1004,7,149,11,316,298,9999,58,360,89,54,49,0
15.7,280,40,103,1005,7,209,14,322,298,9999,58,331,96,69,64,1
16.9,279.1,52,149,992,0,323,12,320,296,9999,57,311,115,73,92,1
17.7,278.3,74,31,985,4,59,12,330,298,9999,58,340,145,48,107,1
18.7,277.6,73,71,980,1,58,14,331,297,9999,58,375,143,40,79,1
19.7,277,77,75,976,4,325,11,350,301,9999,60,265,162,47,121,0
20.8,276.7,88,162,965,5,346,12,341,296,9999,59,145,170,66,132,0
21.8,276.4,101,106,951,9,20,10,355,302,9999,58,44,189,49,111,0
22.6,276.4,119,169,947,14,26,8,13,269,9999,58,-16,212,42,112,1
23.5,276.7,108,121,946,15,29,9,17,294,9999,58,72,216,72,123,1
24.4,277,106,35,948,22,28,10,10,290,9999,57,163,208,99,107,0
25.2,277,104,92,953,26,33,7,14,295,9999,55,152,206,101,136,0
26,277.3,142,107,934,25,19,7,7,298,9999,50,86,236,97,132,0
26.5,277.7,142,98,932,26,26,9,24,289,9999,51,27,238,98,117,0
27.3,278.3,99,90,955,35,39,5,56,264,9999,49,-76,250,114,125,0
27.7,278.9,65,81,984,34,62,8,41,273,9999,51,-66,232,117,93,0
28.5,279.3,60,115,985,25,58,8,51,278,9999,48,-8,188,136,121,0
29,279.9,69,125,987,27,49,9,63,289,9999,47,72,188,126,160,0
29.7,280.6,69,175,984,37,49,5,341,288,9999,43,170,189,122,112,0
30.2,280.9,73,108,982,38,59,13,15,285,9999,44,211,195,83,81,0
31.5,281,78,85,983,38,61,16,3,286,9999,43,168,213,86,102,0
33.3,280.8,78,119,974,44,43,13,356,225,9999,41,7,239,95,110,0
18.2,339.7,36,104,1001,16,21,6,302,265,9999,57,425,88,66,96,0
18.9,339.3,50,68,1001,20,27,5,293,265,9999,57,446,92,81,86,0
20.5,339.2,45,111,1002,20,56,9,360,256,9999,53,399,82,66,74,0
21.7,339.5,31,125,1003,21,56,10,360,253,9999,51,367,88,66,89,0
22.5,339.5,26,124,1006,22,61,12,9,249,9999,49,374,78,56,50,0
34.3,298,37,104,1007,13,59,5,270,207,9999,27,1066,123,123,-28,0
34.5,297.3,46,69,1006,5,158,5,212,210,9999,28,1029,112,131,-20,0
34.2,297.4,36,9,1008,8,84,6,51,205,9999,27,1063,115,119,-23,0
36.1,299.8,33,87,1007,10,153,14,56,213,9999,27,939,79,17,-37,0
36.8,301.2,30,92,1006,9,131,19,65,205,9999,27,937,67,4,-47,0
37.7,291.8,57,105,997,31,58,31,59,261,9999,42,483,69,22,43,0
39.6,296.1,53,154,1000,34,65,24,55,239,9999,42,453,79,-11,74,0
40.9,299.1,52,176,997,35,67,27,54,227,9999,38,456,74,-19,60,0
29.5,269,47,127,1007,29,94,17,39,252,9999,49,-20,90,-90,22,0
31.3,270.6,37,103,1007,18,87,13,28,250,9999,48,-104,94,-125,87,0
32,271.2,37,137,1008,17,62,11,64,276,9999,47,-163,118,-86,104,0
32.7,272.1,24,120,1005,25,76,9,56,265,9999,46,-222,85,-84,98,0
33.5,273.8,18,174,1006,14,103,12,85,240,9999,44,-333,89,-81,49,0
33.2,275.1,21,95,1007,5,65,17,83,234,9999,45,-328,82,-79,44,0
33.4,277.3,27,160,1008,10,88,18,60,254,9999,48,-222,67,-64,-25,0
34.1,279.3,27,49,1008,6,119,18,77,250,9999,46,-158,63,-58,33,0
34.9,281.8,33,87,1007,8,79,19,72,250,9999,47,-82,64,-89,24,0
36.1,283.9,32,77,1006,13,19,21,71,251,9999,47,-20,75,-35,101,0
36.8,286.4,39,112,1003,11,52,30,62,219,9999,48,199,69,-39,57,0
37.8,289.7,42,55,1002,4,153,30,45,257,9999,48,384,64,-31,75,0
32,280.5,36,33,1010,9,313,15,294,269,9999,41,96,59,-64,11,0
32.4,279.3,37,52,1014,2,251,15,306,270,9999,42,-7,55,-76,-14,0
9.2,312.2,32,141,1005,11,177,18,293,278,9999,54,691,104,76,44,0
9.9,309.9,42,62,1005,9,183,20,281,278,9999,56,605,115,69,66,0
10.7,307.4,39,99,1005,6,216,18,270,282,9999,54,577,98,74,43,1
11.3,305.6,49,94,1001,5,168,25,277,277,9999,56,614,109,53,75,1
12.3,302.7,50,98,1001,10,131,24,287,278,9999,53,436,123,63,40,0
13,300.2,77,87,996,18,131,27,288,276,9999,54,277,137,56,32,0
13.8,297.6,78,96,998,11,135,26,286,278,9999,55,344,129,28,46,0
14.5,294.9,73,134,996,12,144,24,294,278,9999,56,398,137,35,29,0
15.8,292.1,64,102,997,16,127,23,290,281,9999,53,256,115,47,22,0
16.6,289.7,67,92,999,18,134,22,288,282,9999,55,161,103,38,25,0
17.3,287.2,69,100,1002,17,133,14,287,281,9999,53,89,99,33,10,0
17.6,285.3,54,199,1004,9,113,11,275,286,9999,55,80,75,31,28,0
18.4,283.8,51,64,1007,23,129,17,317,286,9999,55,31,73,18,52,0
19.4,282.5,54,152,1008,17,127,14,317,297,9999,54,44,66,-9,36,0
20.2,281.2,56,151,1004,13,113,13,308,292,9999,55,92,64,-20,9,0
20.8,280.4,54,79,1003,15,116,12,317,292,9999,52,87,76,-47,30,0
21.5,279.2,65,135,1006,17,109,12,317,302,9999,52,56,75,-45,51,0
22.2,278.4,54,71,1006,13,81,7,312,292,9999,53,-15,94,-23,72,0
23,277.9,58,70,1007,11,77,10,314,276,9999,53,-16,92,-45,56,0
23.8,277.6,55,78,1007,22,89,14,334,290,9999,50,77,74,-60,49,0
24.5,277.3,52,82,1005,20,94,11,340,288,9999,50,161,71,-62,43,0
25.3,277,61,37,999,21,88,11,346,286,9999,50,146,100,-23,68,0
26.7,276.8,66,116,996,21,118,11,346,278,9999,51,77,105,-35,11,0
27.9,276.5,59,75,1005,20,122,15,357,282,9999,51,70,95,-64,42,0
29.2,276.4,53,164,999,20,107,11,351,280,9999,53,44,101,-47,3,0
30.5,276.5,39,49,1004,24,93,13,20,260,9999,52,-68,84,-43,29,0
32.9,278.1,41,70,1008,15,96,16,40,250,9999,50,-129,81,-56,16,0
34.3,279.5,39,27,1007,15,82,18,37,249,9999,49,-153,93,-43,17,0
37.1,283.1,42,106,1007,17,86,22,40,260,9999,48,-83,84,18,145,0
38.4,284.4,46,117,1001,13,64,25,55,254,9999,48,-40,102,85,32,0
40,287.1,43,97,1001,22,34,23,43,225,9999,47,83,106,80,66,0
13.7,301.4,31,78,1009,7,166,14,299,284,9999,52,414,63,31,8,0
14.8,300.1,26,96,1009,4,93,14,296,283,9999,51,460,57,40,21,0
15.3,298.6,30,93,1009,6,96,16,309,284,9999,51,502,56,46,28,0
